Category,Subcategory,Strength,Multiplier,en,de,ru,eo,pl,it,ua,ko
0,2,3,1,The government should never break up a company,Der Staat sollte niemals ein Unternehmen schließen,Государство никогда не должно разделять компании,La registaro ne rajtu disigi kompaniojn,Rząd nigdy nie powinien rozkładać firmy,Lo stato non dovrebbe mai smantellare o dividere un'azienda privata,Держава ніколи не маємати права ліквідовувати компанії,정부는 결코 회사를 해체해서는 안된다
0,2,3,1,Government intervention in the economy almost always makes the economy worse,Staatliche Eingriffe in der Wirtschaft macht es fast immer schlimmer,Вмешательство государства в экономику почти всегда ослабляет её,Ekonomia interveno de la registaro preskaŭ ĉiam plimalbonigas la ekonomion,Interwencja rządowa w gospodarce prawie zawsze pogarsza sytuację gospodarczą,Gli interventi del governo nell'economia non possono che peggiorare la situazione,Втручання держави в економіку майже завжди тільки шкодить їй,경제에 대한 정부의 개입은 거의 항상 경제를 악화시킨다
0,2,3,1,The market will always make the best product unless the government intervenes,"Der Markt wird immer die besten Produkte machen, außer der Staat greift ein","Рынок всегда поставит лучший продукт без государственного вмешательства","La merkado ĉiam faros la plej bonajn produktojn, nur se la registaro ne intervenos","Rynek zawsze będzie najlepszym produktem, chyba że rząd zainterweniuje","Il mercato crea sempre i prodotti migliori, a meno che lo stato intervenga","Вільний ринок завжди вироблятиме найкращий товар, якщо держава не буде у нього втручатися",시장은 정부가 개입하지 않는 한 항상 최고의 제품을 만들 것이다
0,2,2,1,Excessive government intervention hurts the economy,Übermäßiges Einschreiten des Staates schadet der Wirtschaft,Чрезмерное вмешательство государства всегда наносит ущерб экономике,Ekscesa interveno de la registaro damaĝas la ekonomion ,Nadmierna interwencja rządu szkodzi gospodarce,L'eccessivo interventismo economico fa male all'economia,Занадто велике втручання держави в економіку шкодить їй,정부의 지나친 개입은 경제를 해친다
0,2,3,-1,Oppression by corporations is a much more real threat than oppression by the government,"Unterdrückung durch Unternehmen ist eine größere wirkliche Gefahr, als Unterdrückung durch die Regierung","Угнетение корпорациями — более реальная угроза, нежели угнетение государством",Opreso fare de korponacioj estas multe pli ebla minaco ol opreso fare de la registaro,Ucisk ze strony korporacji jest znacznie bardziej realnym zagrożeniem niż ucisk ze strony rządu,L'oppressione da parte di grandi multinazionali è un pericolo più reale che l'oppressione da parte dello stato,"Утиск зі сторони корпорацій - набагато більш реальна загроза, ніж утиск зі сторони держави",기업에 의한 억압은 정부에 의한 억압보다 실질적으로 훨씬 더 위협적이다
0,2,1,1,Competition generally makes the economy better,Wettkampf generell macht die Wirtschaft besser,Конкуренция обычно укрепляет экономику,Konkurado ĝenerale plibonigas la ekonomion,Konkurencja ogólnie poprawia gospodarkę,"La competizione, in generale, migliora l'economia",Конкуренція в цілому зміцнює економіку,경쟁은 일반적으로 경제를 더 좋게 만든다
0,2,1,1,Capitalism is better than any existing alternative,Kapitalismus ist besser als jede existierende Alternative,Капитализм превосходит любые существующие ему альтернативы,Kapitalismo estas pli bona ol ajna ekzistanta alternativo,Kapitalizm jest lepszy niż jakakolwiek istniejąca alternatywa,Il capitalismo è la migliore tra le alternative che abbiamo,Капіталізм краще за будь-які наразі існуючі альтернативи,자본주의가 기존의 어떤 대안보다 낫다
1,0,4,1,It should be legal to scream fire in a crowded building when there's no fire,"Es sollte erlaubt sein in einem vollem Gebäude Feuer zu schreien, obwohl dort keins ist","Нельзя законодательно запрещать кричать «Пожар!» в здании с кучей людей, когда никакого пожара нет","Devas esti neleĝe krei pri incendio en ejo, plena de homoj, kie estas neniu incendio","Krzyczenie „ogień” w zatłoczonym budynku powinno być legalne, gdy nie ma ognia",Dovrebbe essere legale urlare «Al fuoco!» in un edificio affollato anche se non c'è nessun incendio,"Не можна законодавчо забороняти кричати «Пожежа!» у будинку з великою кількістю людей, коли пожежі немає",불이 나지 않을 때 사람이 많은 건물에서 불을 지르는 것은 합법적이어야 한다
1,0,4,1,There should be no police force,Es sollte keinen Polizeiapparat geben,Полиции не должно существовать,Policaj forcoj devas ne esti,Nie powinno być policji,La polizia non dovrebbe esistere,Поліції не має існувати,경찰이 있어서는 안 된다
1,0,3,1,There should be no legal repercussions for using extremely offensive language,Es sollte keine rechtlichen Folgen haben extrem beleidigende Sprache zu verwenden,Крепкие ругательства и мат не должны преследоваться по закону,Uzado de ekstreme ofendigaj vortoj devas ne havi leĝajn sekvojn,Używanie wyjątkowo obraźliwego języka nie powinno mieć prawnych konsekwencji,Non ci dovrebbero essere ripercussioni legali per l'uso di linguaggio estremamente volgare o offensivo,Ненормативна та аґресивна лексика не має заборонятися законом,극도로 불쾌한 언어를 사용하는 것에 대해 법적인 영향이 없어야 한다
1,0,3,1,There should be no legal repercussions for supporting any ideology,Es sollte keine rechtlichen Folgen haben eine Ideologie zu unterstützen,Поддержка любой идеологии не должна преследоваться по закону,Subtenado de ajna ideologio devas ne havi leĝajn sekvojn,Nie powinno być żadnych skutków prawnych dla wspierania jakiejkolwiek ideologii,Non ci dovrebbero essere ripercussioni legali per il supporto ad una certa ideologia politica,Слідування будь-якій ідеології не має переслідуватися законом,어떤 이념을 지지하는 데 법적인 영향이 있어서는 안 된다
1,0,2,1,Cracking down on speech usually makes what you were trying to censor spread more,"Hart gegen Meinungen vorzugehen lässt für gewöhnlich, das was man versucht zu zensieren, schneller verbreiten","Суровое притеснение взглядов обычно лишь способствует распространению цензурируемого","Forta subpremo de opinioj kutime popularigas tion, kion oni provas cenzuri","Utrudnianie w wyrażaniu opinii zwykle oznacza, że ​​to, co próbujesz cenzurować, rozprzestrzenia się szybciej",La censura non fa altro che contribuire alla diffusione di ciò che si voleva condannare,"Жорстке придушення певної ідеї лише пробуджує інтерес до неї та стимулює росповсюдження того, що намагаються зацензурити",말을 단속하면 대개 검열하려던 것이 더 확산된다
1,0,2,1,Freedom of speech is an important concept,Meinungsfreiheit ist ein wichtiges Konzept,Свобода слова — это важная концепция,Libero de parolo estas grava koncepto,Wolność słowa to ważna koncepcja,La libertà di parola è un un valore importante,Свобода слова - це важлива концепція для суспільства,언론의 자유는 중요한 개념이다
1,0,2,1,Protesting is a way of showing patriotism,Protestieren ist ein Weg Patriotismus zu zeigen,Протесты — проявление патриотизма,Protestoj estas maniero montri patriotismon,Protestowanie jest sposobem pokazania patriotyzmu,La protesta è una forma di patriottismo,Протест - це прояв патріотизму,항의하는 것은 애국심을 보여주는 방법이다
1,0,2,1,Police should be regulated more,Die Polizei sollte mehr reguliert werden,Деятельность полиции должна регулироваться жёстче,Oni devas reguli policon pli multe,Policja powinna podlegać większej regulacji,La polizia dovrebbe essere più controllata,Діяльність поліції повинна бути під жорсткішим наглядом,경찰은 더 많은 규제를 받아야 한다
1,0,2,1,Whistleblowers should be strongly protected,Informanten sollten stark beschützt werden,Разоблачителей тайн необходимо сильно защищать,Oni devas protekti malkaŝantojn pli forte,Informatorzy powinni być silnie chronieni,Gli informatori dovrebbero essere messi sotto protezione,Викривачів таємниць потрібно сильно захищати,내부고발자는 강력하게 보호되어야 한다
1,0,1,1,I support the right for people I disagree with to voice their opinions,"Ich unterstütze das Recht von Leuten, denen ich nicht zustimme, ihre Meinung zu teilen","Я поддерживаю право выражения мнения для тех, с кем я не согласен","Mi subtenas rajton esprimi sian opinion de homoj, kun kiuj mi malkonsentas","Popieram prawo osób, z którymi się nie zgadzam, do wyrażania swoich opinii",Io supporto il diritto di parola anche di chi non la pensa come me,"Я не проти того, щоби ті, з ким я не згоден, також могли вільно висловлювати свою думку",나는 내가 동의하지 않는 사람들이 그들의 의견을 말할 권리를 지지한다
1,0,1,1,The government has no business looking into most people's personal lives,Es ist nicht die Sache des Staats das persönliche Leben von den meisten Leuten zu beobachten,"Личная жизнь большинства граждан — не дело государства",La registaro ne havas kaŭzon por observi personan vivon de plejaj homoj,Rząd nie ma biznesu w zajmowaniu się życiem osobistym większości ludzi,Lo stato non ha ragione di interessarsi alle vite private dei cittadini,Держава не має права сувати свій ніс в особисте життя більшості своїх громадян,정부는 대부분의 사람들의 사생활을 조사할 필요가 없다
1,0,1,1,The government should not prosecute people for expressing an opinion,Der Staat sollte keine Leute dafür bestrafen eine Meinung kundzutun,Государство не должно преследовать людей за выражение своего мнения,La registaro devas ne puni homojn pro esprimado de ilia opinio,Rząd nie powinien ścigać ludzi za wyrażanie opinii,Lo stato non dovrebbe processare i suoi cittadini per aver espresso un'opinione,Держава не має переслідувати людей за вираження своєї думки,정부는 의견을 표명했다고 사람들을 기소해서는 안 된다
1,1,4,1,Those who disagree with the government should be removed from the country,"Die, die mit der Regierung nicht übereinstimmen, sollten aus dem Land entfernt werden","Необходимо выселять из страны тех, кто не согласен с её властями","Homoj, kiuj malkonsentas kun la registaro, devas esti forigitaj de la lando","Ci, którzy nie zgadzają się z rządem, powinni zostać usunięci z kraju",Chi è in disaccordo con lo stato dovrebbe essere rimosso dal territorio nazionale,"Необхідно виселити з країни людей, які незгодні з її урядом",정부에 동의하지 않는 사람은 국외로 추방해야 한다
1,1,4,1,Protesting the government should be illegal,Gegen den Staat zu protestieren sollte illegal sein,Необходимо запретить протесты против власти,Protestoj kontraŭ la registaro devas esti neleĝaj,Protestowanie przeciwko rządowi powinno być nielegalne,Protestare contro il governo dovrebbe essere illegale,Потрібно заборонити протестувати проти влади,정부에 항의하는 것은 불법이어야 한다
1,1,3,1,The government should monitor all citizens to combat terrorism,"Die Regierung sollte alle Bürger beobachten, um Terrorismus zu bekämpfen",Государство должно следить за всеми гражданами для борьбы с терроризмом,La registaro devas monitori ĉiujn civitanojn por venki terorismon,Rząd powinien monitorować wszystkich obywateli w celu zwalczania terroryzmu,Il governo dovrebbe monitorare tutti cittadini per prevenire atti terroristici,Уряд мусить слідкувати за усіма громадянами для боротьби з тероризмом,정부는 테러와 싸우기 위해 모든 시민들을 감시해야 한다
1,1,3,1,Police need more power and protection,Die Polizei braucht mehr Macht und Schutz,Полиция должна иметь больше защиты и мощи,Polico devas havi pli da protekto kaj povoj,Policja potrzebuje więcej mocy i ochrony,La polizia ha bisogno di più potere e protezione,Поліції потрібно більше влади й захисту,경찰은 더 많은 권력과 보호가 필요하다
1,1,3,1,"If you have nothing to hide, you should have nothing to fear from the government monitoring your communications","Wenn man nichts zu verbergen hat, sollte man keine Angst davor haben, dass die Regierung die Kommunikation überwacht","У вас нет причин бояться прослушки со стороны властей, если вам нечего скрывать","Se vi ne volas kaŝi ion, vi ne havas kaŭzon por timi komunikobservon de la registaro","Jeśli nie masz nic do ukrycia, nie powinieneś się obawiać, że rząd monitoruje twoje aktywności","Se non hai niente da nascondere, non hai ragione di avere paura nel momento in cui lo stato monitora le tue comunicazioni","Немає причин боятися нагляду чи прослуховування зі сторони держави, якщо тобі немає чого ховати",숨길 것이 없으면 통신 감시하는 정부로부터 두려울 것이 없어야 한다
1,1,2,1,Whistleblowers who leak classified information that costs lives should be prosecuted,"Informanten, die geheime Menschenleben kostende Informationen veröffentlichen, sollten bestraft werden","Разоблачители секретной информции, от которой зависела жизнь людей, должны нести наказание","Homoj, kiuj malkaŝis sekretajn informojn koste de ies vivoj, devas puniĝi","Informatorzy, którzy publikują tajne informacje kosztujące ludzkie życie, powinni zostać ukarani","Se le informazioni riservate rivelate da una talpa finiscono per costare la vita a qualcuno, la talpa dovrebbe poter essere messa a processo","Викривачі секретної інформації, від якої залежать життя людей, повинні понести покарання",생명을 앗아가는 기밀을 누설한 내부고발자는 기소되어야 한다
1,1,2,1,We must sacrifice some freedoms to protect our country from terrorism,"Wir müssen einige unserer Freiheiten opfern, um unser Land vor Terrorismus zu schützen","Мы должны пожертвовать некоторыми свободами, чтобы защитить свою страну от терроризма",Ni oferu iujn liberojn por protekti nian landon de teroristoj,"Musimy poświęcić niektóre swobody, aby chronić nasz kraj przed terroryzmem",Dobbiamo privarci di alcune libertà per proteggere il nostro paese dal terrorismo,"Потрібно пожертвувати деякими свободами, щоби захистити країну від тероризму",우리는 테러로부터 우리나라를 보호하기 위해 약간의 자유를 희생해야 한다
1,1,2,1,Government surveillance is necessary in the modern world,Staatliche Überwachung ist in der modernen Welt notwendig,В наши дни массовая слежка необходима,Registara observo estas necesa en la moderna mondo,Rządowa inwigilacja jest konieczna we współczesnym świecie,La sorveglianza ed il monitoraggio da parte dello stato sono necessari nel mondo moderno,Державний нагляд є необхідним у наші дні,현대 사회에서 정부의 감시는 불가피하다
1,1,1,1,It is important for national security that some materials are classified,"Es ist wichtig für die nationale Sicherheit, dass manche Materialien geheim sind","Для национальной безопасности важно, чтобы некоторая информация держалась под грифом «Секретно»",Estas grave por nacia sekureco resti iujn materialojn en sekreto,"Dla bezpieczeństwa narodowego ważne jest, aby niektóre materiały były tajne",È essenziale per la sicurezza nazionale che alcuni documenti ed informazioni rimangono top secret,"Для національної безпеки важливо, щоби деяка інформація залишалася таємною",일부 자료는 기밀로 분류되는 것이 국가안보에 중요하다
1,1,1,1,The government should have access to the emails of suspected terrorists,Die Regierung sollte Zugang zu den E-Briefen von vermeintlichen Terroristen haben,Правительство должно иметь доступ к перепискам всех подозреваемых в терроризме,La registaro devas havi atingon al retleteroj de suspektatoj je terorismo,Rząd powinien mieć dostęp do wiadomości e-mail podejrzanych o terroryzm,Il governo dovrebbe poter avere accesso alle email di sospetti terroristi,Уряд має мати доступ до листувань усіх підозрюваних у тероризмі,정부는 테러 용의자들의 이메일에 접근할 수 있어야 한다
1,1,1,1,The government should be able to access the phones of convicted criminals to find additional criminals,"Die Regierung sollte Zugang zu den Mobiltelefonen von überführten Verbrechern haben, um weitere Verbrecher zu finden","Власти должны иметь доступ к телефонным разговором осуждённых преступников, чтобы предотвратить новые преступления",La registaro devas havi atingon al telefonoj de kondamnitaj krimuloj por preventi novajn krimojn,Rząd powinien mieć dostęp do telefonów skazanych przestępców w celu znalezienia dodatkowych przestępców,Il governo dovrebbe poter avere accesso ai telefoni dei criminali ormai processati per trovare altri criminali,"Влада має мати доступ до телефонних дзвінків засуджених злочинців, щоби знайти їх прибічників",정부는 추가 범죄자를 찾기 위해 유죄판결을 받은 범죄자들의 전화에 접속할 수 있어야 한다
1,1,3,-1,"The government should never be able to prosecute someone for the truth, even if it is a matter of national security","Die Regierung sollte niemals jemanden für die Wahrheit bestrafen können sollen, auch wenn es eine Sache der nationalen Sicherheit ist","Государство никогда не должно быть вправе наказывать людей за правду, даже если на кону стоит национальная безопасность","La registaro ne rajtu puni iun pro la vero, eĉ se tio estas demando de nacia sekureco","Rząd nigdy nie powinien być w stanie ukarać nikogo za prawdę, nawet jeśli jest to kwestia bezpieczeństwa narodowego","Lo stato non dovrebbe avere il potere di processare qualcuno per aver svelato un segreto, anche in caso compromettesse la sicurezza nazionale","Держава не має права карати людину за правду, навіть якщо на кону стоїть національна безпека",국가 안보의 문제라 하더라도 정부는 결코 진실을 위해 누군가를 기소할 수 없어야 한다
1,2,4,1,People who spread misinformation should be punished,"Menschen die Unwahrheiten verbreiten, sollten bestraft werden",Распростроняющие дезинформацию люди должны нести наказание,Oni devas puni misinformantojn,"Ludzie, którzy rozpowszechniają dezinformację, powinni zostać ukarani",Chi diffonde notizie false non dovrebbe essere punito,"Люди, які розповсюджують дезінформацію, мають бути покарані",잘못된 정보를 퍼뜨린 사람들은 처벌받아야 한다
1,2,4,1,Speculations and facts which cannot be confirmed for certain should never be published,"Spekulationen und Fakten, die nicht eindeutig als richtig erwiesen werden können, sollten niemals veröffentlicht werden","Спекуляции и факты, которые не могут быть однозначно подтверждены, никогда не должны обнародываться",Spekulaĵoj kaj nekonfirmeblaj faktoj devas neniam publikiĝi,"Spekulacje i fakty, których nie można jednoznacznie udowodnić, że są poprawne, nigdy nie powinny być publikowane",Non bisognerebbe mai pubblicare speculazioni e fatti che non possono essere verificati,"Спекуляції та факти, що не можуть бути однозначно доказані, ніколи не мають публікуватися",확실이 확인되지 않는 추측과 사실들은 절대로 공표되어서는 안 된다
1,2,3,1,Social media platforms should be required to remove posts which promote conspiracy theories,"Soziale Netzwerke sollten verpflichtet sein Beiträge, die Verschwörungstheorien unterstützen, zu löschen","Необходимо обязать социальные сети удалять посты, продвигающие конспирологичекие теории","Oni devas postuli de sociaj mediatoj forigi afiŝojn, promovantaj konspriajn teoriojn",Od platform społecznościowych należy wymagać usuwania postów promujących teorie spiskowe,Bisognerebbe imporre ai social media di rimuovere i post che promuovono teorie del complotto,"Потрібно змусити соціальні мережі видаляти пости, які просувають конспірологічні теорії",SNS 플랫폼은 음모론을 조장하는 게시물을 제거하도록 요구되어야 한다
1,2,3,1,You should not have the right to make claims which are provably false,"Man sollte nicht das Recht haben Ansprüche zu stellen, die wahrscheinlich falsch sind",Никто не должен быть в праве делать заведомо ложные утверждения,Oni ne rajtu fari certe neverajn asertojn,"Nie powinno być prawa do wysuwania roszczeń, które mogą być fałszywe",Non dovresti avere il diritto di sostenere teorie che sono state provate false,"Ніхто не має мати права робити твердження, які завідома неправдиві",당신은 허위일 가능성이 있는 주장을 할 권리를 가져서는 안 된다
1,2,2,1,The media should be penalized for reporting false headlines,Die Medien sollten bestraft dafür werden über falsche Schlagzeilen zu berichten,Необходимо ввести штрафы для СМИ за ложные заголовки,Oni devas puni mediatojn pro malveraj titoloj,Media powinny zostać ukarane za tworzenie niewłaściwych nagłówków,I media dovrebbero essere penalizzati per la pubblicazione di titoli non veritieri,Потрібно штрафувати ЗМІ за брехливі заголовки,언론은 잘못된 헤드라인을 보도한 것에 대해 처벌을 받아야 한다
1,2,2,1,Officials who intentionally deceive the population should be in prison,"Beamte, die beabsichtigt die Bevölkerung täuschen, sollten ins Gefängnis kommen","Чиновники, которые умышленно обманывают народ, должны сидеть в тюрьме","Oficistoj, kiuj intence trompas homojn, devas esti en malliberejo","Urzędnicy, którzy celowo oszukują ludność, powinni znajdować się w więzieniu",Funzionari che ingannano volontariamente la popolazione dovrebbero essere messi in prigione,"Політичні лиця, які навмисно обманюють населення, мають сидіти у в'язниці",일부러 국민을 속이는 공무원은 감옥에 있어야 한다
1,2,2,1,Social media should be responsible for fact checking advertisements that they host,"Soziale Netzwerke sollten dafür verantwortlich sein, die Werbungen, die sie schalten einer Faktenüberprüfung zu unterziehen","Социальные сети должны нести ответственность за правдивость рекламы, которая в них публикуется",Sociaj mediatoj devas responsi pri vereco de publikigata en ili reklamo,Media społecznościowe powinny być odpowiedzialne za sprawdzanie faktów w umieszczanych przez nich reklamach,I social media dovrebbero essere resi responsabili di controllare la veridicità dei post sulla loro piattaforma,"Соціальні мережі повинні нести відповідальність за достовірність та правдивість реклами, яка в них публікується",SNS는 자신이 진행하는 광고를 팩트 체크하는 책임을 져야 한다
1,2,1,1,The media should make more of an effort to report facts rather than opinions,Die Medien sollten sich mehr darum bemühen über Fakten anstatt Meinungen zu berichten,"СМИ должны больше стараться над тем, чтобы высказывать факты, чем мнения",Amaskomunikiloj devas pli multe peni raporti pri pli faktoj ol opinioj,"Media powinny zrobić więcej, aby zgłaszać fakty niż opinie",I media dovrebbero impegnarsi di più per riportare i fatti invece che le opinioni,"ЗМІ мають зосередитися на донесенні фактів, а не поглядів",언론은 의견보다는 사실 보도 노력을 더 기울여야 한다
